,hero,url1,url2
67,甄姬,http://pvp.qq.com/web201605/herodetail/127.shtml,http://news.17173.com/z/pvp/yxtj/zj/index.shtml
68,夏侯惇,http://pvp.qq.com/web201605/herodetail/126.shtml,http://news.17173.com/z/pvp/yxtj/xhd/index.shtml
69,周瑜,http://pvp.qq.com/web201605/herodetail/124.shtml,http://news.17173.com/z/pvp/yxtj/zhouyu/index.shtml
70,吕布,http://pvp.qq.com/web201605/herodetail/123.shtml,http://news.17173.com/z/pvp/yxtj/lvbu/index.shtml
71,芈月,http://pvp.qq.com/web201605/herodetail/121.shtml,http://news.17173.com/z/pvp/yxtj/my/index.shtml
72,白起,http://pvp.qq.com/web201605/herodetail/120.shtml,http://news.17173.com/z/pvp/yxtj/baiqi/index.shtml
73,扁鹊,http://pvp.qq.com/web201605/herodetail/119.shtml,http://news.17173.com/z/pvp/yxtj/bianque/index.shtml
74,孙膑,http://pvp.qq.com/web201605/herodetail/118.shtml,http://news.17173.com/z/pvp/yxtj/sb/index.shtml
75,钟无艳,http://pvp.qq.com/web201605/herodetail/117.shtml,http://news.17173.com/z/pvp/yxtj/zwy/index.shtml
76,阿轲,http://pvp.qq.com/web201605/herodetail/116.shtml,http://news.17173.com/z/pvp/yxtj/jk/index.shtml
77,高渐离,http://pvp.qq.com/web201605/herodetail/115.shtml,http://news.17173.com/z/pvp/yxtj/gjl/index.shtml
78,刘禅,http://pvp.qq.com/web201605/herodetail/114.shtml,http://news.17173.com/z/pvp/yxtj/ls/index.shtml
79,庄周,http://pvp.qq.com/web201605/herodetail/113.shtml,http://news.17173.com/z/pvp/yxtj/zz/index.shtml
80,鲁班七号,http://pvp.qq.com/web201605/herodetail/112.shtml,http://news.17173.com/z/pvp/yxtj/lbqh/index.shtml
81,孙尚香,http://pvp.qq.com/web201605/herodetail/111.shtml,http://news.17173.com/z/pvp/yxtj/ssx/index.shtml
82,嬴政,http://pvp.qq.com/web201605/herodetail/110.shtml,http://news.17173.com/z/pvp/yxtj/yz/index.shtml
83,妲己,http://pvp.qq.com/web201605/herodetail/109.shtml,http://news.17173.com/z/pvp/yxtj/dj/index.shtml
84,墨子,http://pvp.qq.com/web201605/herodetail/108.shtml,http://news.17173.com/z/pvp/yxtj/mz/index.shtml
85,赵云,http://pvp.qq.com/web201605/herodetail/107.shtml,http://news.17173.com/z/pvp/yxtj/zy/index.shtml
86,小乔,http://pvp.qq.com/web201605/herodetail/106.shtml,http://news.17173.com/z/pvp/yxtj/xq/index.shtml
87,廉颇,http://pvp.qq.com/web201605/herodetail/105.shtml,http://news.17173.com/z/pvp/yxtj/lp/index.shtml
